question,answer
Irish Civil War occurred in 1931-1932,False
Sri Lankan Civil War occurred from 1983-2009,True
William McKinley was assassinated (1901) in Buffalo NY,True
Osama bin Laden was assassinated in Islamabad Pakiston,False
George S Patton's nickname was Old Blood and Guts,True
Benazir Bhutto's nickname was The Iron Butterfly,False
Igor Stravinsky and Jim Morrison and Louis Armstrong died in the same year,True
Walt Disney died in 1971,False
Frank Lloyd Rice died in 1959,True
Mark David Chapman murdered John Lennon,True
